question,state,year,applies to,response,citations,cautions
Is any record of the sale required to be kept?,HI,1993,Handguns,Yes,,
Is any record of the sale required to be kept?,HI,1993,Long guns,No,,
Is any record of the sale required to be kept?,AK,1991,All,N/A,,
Is any record of the sale required to be kept?,OR,1991,All,N/A,,
Is any record of the sale required to be kept?,WA,1991,All,N/A,,
Is any record of the sale required to be kept?,CA,1991,All,Yes,Cal. Penal Code §§ 11106(b); 12084,
Is any record of the sale required to be kept?,NV,1991,All,N/A,,
Is any record of the sale required to be kept?,ID,1991,All,N/A,,
Is any record of the sale required to be kept?,UT,1991,All,N/A,,
Is any record of the sale required to be kept?,AZ,1991,All,N/A,,
Is any record of the sale required to be kept?,MT,1991,All,N/A,,
Is any record of the sale required to be kept?,WY,1991,All,N/A,,
Is any record of the sale required to be kept?,NM,1991,All,N/A,,
Is any record of the sale required to be kept?,CO,1991,All,N/A,,
Is any record of the sale required to be kept?,ND,1991,All,N/A,,
Is any record of the sale required to be kept?,SD,1991,All,N/A,,
Is any record of the sale required to be kept?,NE,2019,Handguns,No,,
Is any record of the sale required to be kept?,NE,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,TX,1991,All,N/A,,
Is any record of the sale required to be kept?,KS,1991,All,N/A,,
Is any record of the sale required to be kept?,OK,1991,All,N/A,,
Is any record of the sale required to be kept?,MN,1991,All,N/A,,
Is any record of the sale required to be kept?,IA,2019,Handguns,No,,
Is any record of the sale required to be kept?,IA,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,LA,1991,All,N/A,,
Is any record of the sale required to be kept?,AR,1991,All,N/A,,
Is any record of the sale required to be kept?,MO,2006,Handguns,Yes,,
Is any record of the sale required to be kept?,MO,2006,Long Guns,N/A,,
Is any record of the sale required to be kept?,MS,1991,All,N/A,,
Is any record of the sale required to be kept?,WI,1991,All,N/A,,
Is any record of the sale required to be kept?,IL,1991,All,Yes,430 ILCS 65/3(b),
Is any record of the sale required to be kept?,AL,1991,All,N/A,,
Is any record of the sale required to be kept?,TN,1993,Handguns,N/A,,
Is any record of the sale required to be kept?,TN,1997,Long Guns,N/A,,
Is any record of the sale required to be kept?,IN,1997,Handguns,Yes,,
Is any record of the sale required to be kept?,IN,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,KY,1991,All,N/A,,
Is any record of the sale required to be kept?,MI,2007,Handguns,Yes,,
Is any record of the sale required to be kept?,MI,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,GA,1991,All,N/A,,
Is any record of the sale required to be kept?,OH,1991,All,N/A,,
Is any record of the sale required to be kept?,FL,1991,All,N/A,,
Is any record of the sale required to be kept?,WV,1991,All,N/A,,
Is any record of the sale required to be kept?,SC,1991,All,N/A,,
Is any record of the sale required to be kept?,NC,2019,Handguns,No,,
Is any record of the sale required to be kept?,NC,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,PA,1994,Handguns,N/A,,
Is any record of the sale required to be kept?,PA,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,VA,1991,All,N/A,,
Is any record of the sale required to be kept?,MD,1991,All,N/A,,
Is any record of the sale required to be kept?,DC,1991,All,Yes,D.C. Code §§ 6-2317(a); 6-2318; 6-2351; 6-2352,
Is any record of the sale required to be kept?,NY,2012,Handguns,Yes,,
Is any record of the sale required to be kept?,NY,2012,Long Guns,N/A,,
Is any record of the sale required to be kept?,DE,1991,All,N/A,,
Is any record of the sale required to be kept?,NJ,2017,Handguns,Yes,,
Is any record of the sale required to be kept?,NJ,2017,Long Guns,No,,
Is any record of the sale required to be kept?,CT,1991,All,N/A,,
Is any record of the sale required to be kept?,VT,1991,All,N/A,,
Is any record of the sale required to be kept?,NH,1991,All,N/A,,
Is any record of the sale required to be kept?,MA,1991,All,No,,
Is any record of the sale required to be kept?,RI,1991,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2); R.I. Gen. Laws § 11-47-35.2(b),
Is any record of the sale required to be kept?,ME,1991,All,N/A,,
Is any record of the sale required to be kept?,HI,1993,Handguns,Yes,,
Is any record of the sale required to be kept?,HI,1993,Long guns,No,,
Is any record of the sale required to be kept?,AK,1992,All,N/A,,
Is any record of the sale required to be kept?,OR,1992,All,N/A,,
Is any record of the sale required to be kept?,WA,1992,All,N/A,,
Is any record of the sale required to be kept?,CA,1992,All,Yes,Cal. Penal Code §§ 11106(b); 12084,
Is any record of the sale required to be kept?,NV,1992,All,N/A,,
Is any record of the sale required to be kept?,ID,1992,All,N/A,,
Is any record of the sale required to be kept?,UT,1992,All,N/A,,
Is any record of the sale required to be kept?,AZ,1992,All,N/A,,
Is any record of the sale required to be kept?,MT,1992,All,N/A,,
Is any record of the sale required to be kept?,WY,1992,All,N/A,,
Is any record of the sale required to be kept?,NM,1992,All,N/A,,
Is any record of the sale required to be kept?,CO,1992,All,N/A,,
Is any record of the sale required to be kept?,ND,1992,All,N/A,,
Is any record of the sale required to be kept?,SD,1992,All,N/A,,
Is any record of the sale required to be kept?,NE,2019,Handguns,No,,
Is any record of the sale required to be kept?,NE,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,TX,1992,All,N/A,,
Is any record of the sale required to be kept?,KS,1992,All,N/A,,
Is any record of the sale required to be kept?,OK,1992,All,N/A,,
Is any record of the sale required to be kept?,MN,1992,All,N/A,,
Is any record of the sale required to be kept?,IA,2019,Handguns,No,,
Is any record of the sale required to be kept?,IA,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,LA,1992,All,N/A,,
Is any record of the sale required to be kept?,AR,1992,All,N/A,,
Is any record of the sale required to be kept?,MO,2006,Handguns,Yes,,
Is any record of the sale required to be kept?,MO,2006,Long Guns,N/A,,
Is any record of the sale required to be kept?,MS,1992,All,N/A,,
Is any record of the sale required to be kept?,WI,1992,All,N/A,,
Is any record of the sale required to be kept?,IL,1992,All,Yes,430 ILCS 65/3(b),
Is any record of the sale required to be kept?,AL,1992,All,N/A,,
Is any record of the sale required to be kept?,TN,1993,Handguns,N/A,,
Is any record of the sale required to be kept?,TN,1997,Long Guns,N/A,,
Is any record of the sale required to be kept?,IN,1997,Handguns,Yes,,
Is any record of the sale required to be kept?,IN,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,KY,1992,All,N/A,,
Is any record of the sale required to be kept?,MI,2007,Handguns,Yes,,
Is any record of the sale required to be kept?,MI,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,GA,1992,All,N/A,,
Is any record of the sale required to be kept?,OH,1992,All,N/A,,
Is any record of the sale required to be kept?,FL,1992,All,N/A,,
Is any record of the sale required to be kept?,WV,1992,All,N/A,,
Is any record of the sale required to be kept?,SC,1992,All,N/A,,
Is any record of the sale required to be kept?,NC,2019,Handguns,No,,
Is any record of the sale required to be kept?,NC,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,PA,1994,Handguns,N/A,,
Is any record of the sale required to be kept?,PA,2019,Long Guns,N/A,,
Is any record of the sale required to be kept?,VA,1992,All,N/A,,
Is any record of the sale required to be kept?,MD,1992,All,N/A,,
Is any record of the sale required to be kept?,DC,1992,All,Yes,D.C. Code §§ 6-2317(a); 6-2318; 6-2351; 6-2352,
Is any record of the sale required to be kept?,NY,2012,Handguns,Yes,,
Is any record of the sale required to be kept?,NY,2012,Long Guns,N/A,,
Is any record of the sale required to be kept?,DE,1992,All,N/A,,
Is any record of the sale required to be kept?,NJ,2017,Handguns,Yes,,
Is any record of the sale required to be kept?,NJ,2017,Long Guns,No,,
